#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Adventures of Robin Hood, The (Europe);Adventures of Robin Hood, The (Europe);Atari 800;;;;;;;;;;;;;;
Aerobics (USA) (Side A);Aerobics (USA) (Side A);Atari 800;;;;;;;;;;;;;;
Aerobics (USA) (Side B);Aerobics (USA) (Side B);Atari 800;;;;;;;;;;;;;;
AffenJagd (Germany) (Unl);AffenJagd (Germany) (Unl);Atari 800;;;;;;;;;;;;;;
After Pearl (USA);After Pearl (USA);Atari 800;;;;;;;;;;;;;;
Agent USA (USA);Agent USA (USA);Atari 800;;;;;;;;;;;;;;
Agonia (Poland) (Proto);Agonia (Poland) (Proto);Atari 800;;;;;;;;;;;;;;
Air Attack (USA) (Unl);Air Attack (USA) (Unl);Atari 800;;;;;;;;;;;;;;
Air Rescue (Europe);Air Rescue (Europe);Atari 800;;;;;;;;;;;;;;
Air Support (USA);Air Support (USA);Atari 800;;;;;;;;;;;;;;
Air-Raid! (USA);Air-Raid! (USA);Atari 800;;;;;;;;;;;;;;
AirBall (USA);AirBall (USA);Atari 800;;;;;;;;;;;;;;
Airline (USA);Airline (USA);Atari 800;;;;;;;;;;;;;;
Airstrike (Europe);Airstrike (Europe);Atari 800;;;;;;;;;;;;;;
Airstrike II (Europe);Airstrike II (Europe);Atari 800;;;;;;;;;;;;;;
Airwolf (Europe);Airwolf (Europe);Atari 800;;;;;;;;;;;;;;
Aladin (Germany) (Unl);Aladin (Germany) (Unl);Atari 800;;;;;;;;;;;;;;
Alchemia (Poland);Alchemia (Poland);Atari 800;;;;;;;;;;;;;;
Alex (Poland) (Unl);Alex (Poland) (Unl);Atari 800;;;;;;;;;;;;;;
Alf in the Color Caves (USA);Alf in the Color Caves (USA);Atari 800;;;;;;;;;;;;;;
Ali Baba And The Forty Thieves (USA);Ali Baba And The Forty Thieves (USA);Atari 800;;;;;;;;;;;;;;
Aliants (USA) (Disk 1 Side A);Aliants (USA) (Disk 1 Side A);Atari 800;;;;;;;;;;;;;;
Aliants (USA) (Disk 1 Side B);Aliants (USA) (Disk 1 Side B);Atari 800;;;;;;;;;;;;;;
Aliants (USA) (Disk 2);Aliants (USA) (Disk 2);Atari 800;;;;;;;;;;;;;;
Alien Ambush (USA);Alien Ambush (USA);Atari 800;;;;;;;;;;;;;;
Alien Blast (Europe);Alien Blast (Europe);Atari 800;;;;;;;;;;;;;;
Alien Egg (USA);Alien Egg (USA);Atari 800;;;;;;;;;;;;;;
Alien Garden (USA);Alien Garden (USA);Atari 800;;;;;;;;;;;;;;
Alien Hell (USA);Alien Hell (USA);Atari 800;;;;;;;;;;;;;;
Alien Swarm (Canada);Alien Swarm (Canada);Atari 800;;;;;;;;;;;;;;
Alienbusters (Czech Republic);Alienbusters (Czech Republic);Atari 800;;;;;;;;;;;;;;
All Star Baseball (USA);All Star Baseball (USA);Atari 800;;;;;;;;;;;;;;
All-Pro Football (USA) (Side A);All-Pro Football (USA) (Side A);Atari 800;;;;;;;;;;;;;;
All-Pro Football (USA) (Side B);All-Pro Football (USA) (Side B);Atari 800;;;;;;;;;;;;;;
Alley Cat (USA);Alley Cat (USA);Atari 800;;;;;;;;;;;;;;
Alp Man (USA);Alp Man (USA);Atari 800;;;;;;;;;;;;;;
