#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Exile (Europe);Exile (Europe);Commodore Amiga CD32;;1995;Audiogenic;Action;;;;;0;;;;;
Fears (Europe);Fears (Europe);Commodore Amiga CD32;;1995;Attic;Shooter;;;;;0;;;;;
Fields of Glory (Europe);Fields of Glory (Europe);Commodore Amiga CD32;;1994;MicroProse;Strategy;;;;;0;;;;;
Fightin' Spirit (Europe);Fightin' Spirit (Europe);Commodore Amiga CD32;;1994;Neo;Fighter;;;;;0;;;;;
The Final Gate (Europe);Final Gate, The (Europe);Commodore Amiga CD32;;1997;Alternative Software;Shooter;;;;;0;;;;;
Fire & Ice - The Daring Adventures of Cool Coyote (Europe);Fire & Ice - The Daring Adventures of Cool Coyote (Europe);Commodore Amiga CD32;;1994;Renegade;Platform;;;;;0;;;;;
Fireforce (Europe);Fireforce (Europe);Commodore Amiga CD32;;1993;Buzz;Shooter;;;;;0;;;;;
The Misadventures Of Flink (Europe);Flink, The Misadventures Of (Europe);Commodore Amiga CD32;;1994;Psygnosis;Platform;;;;;0;;;;;
Fly Harder (Europe);Fly Harder (Europe);Commodore Amiga CD32;;1993;Buzz;Action;;;;;0;;;;;
Frontier - Elite II (Europe);Frontier - Elite II (Europe);Commodore Amiga CD32;;1994;Gametek;Simulation;;;;;0;;;;;
Fury of the Furries (Europe);Fury of the Furries (Europe);Commodore Amiga CD32;;1994;Kalisto;Platform;;;;;0;;;;;
Gamers' Delight (Europe);Gamers' Delight (Europe);Commodore Amiga CD32;;1994;GTI;Compilation;;;;;0;;;;;
Global Effect (Europe);Global Effect (Europe);Commodore Amiga CD32;;1994;Millennium;Strategy;;;;;0;;;;;
Gloom (Europe);Gloom (Europe);Commodore Amiga CD32;;1995;Guildhall Leisure Services;Shooter;;;;;0;;;;;
Grandslam Gamer Gold Collection (Europe);Grandslam Gamer Gold Collection (Europe);Commodore Amiga CD32;;1995;Grandslam;Compilation;;;;;0;;;;;
Guardian (Europe);Guardian (Europe);Commodore Amiga CD32;;1994;Acid Software;Shooter;;;;;0;;;;;
Gulp! (Europe);Gulp! (Europe);Commodore Amiga CD32;;1994;ICE;Puzzle;;;;;0;;;;;
Gunship 2000 (Europe);Gunship 2000 (Europe);Commodore Amiga CD32;;1994;MicroProse;Flying;;;;;0;;;;;
Heimdall 2 - Into The Hall Of Worlds (Europe);Heimdall 2 - Into The Hall Of Worlds (Europe);Commodore Amiga CD32;;1994;Core;Role-Playing;;;;;0;;;;;
HeroQuest II - Legacy Of Sorasil (Europe);HeroQuest II - Legacy Of Sorasil (Europe);Commodore Amiga CD32;;1994;Gremlin;Strategy;;;;;0;;;;;
