#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
pbobble4u;Puzzle Bobble 4 (Ver 2.04A 1997/12/19);Arcade;pbobble4;1997;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble4u;Puzzle Bobble 4 (Ver 2.04A 1997/12/19);Final Burn Alpha;pbobble4;1997;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble4u;Puzzle Bobble 4 (Ver 2.04A 1997/12/19);MAME (Advance);pbobble4;1997;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble4u;Puzzle Bobble 4 (Ver 2.04A 1997/12/19);MAME (Libretro);pbobble4;1997;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble4u;Puzzle Bobble 4 (Ver 2.04A 1997/12/19);MAME (Mame4all);pbobble4;1997;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble4u;Puzzle Bobble 4 (Ver 2.04A 1997/12/19);MAME;pbobble4;1997;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble;Puzzle Bobble (Japan, B-System);Arcade;;1994;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
pbobble;Puzzle Bobble (Japan, B-System);Arcade;;1994;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble;Puzzle Bobble (Japan, B-System);Final Burn Alpha;;1994;Taito Corporation;;;;;;0;;;;;
pbobble;Puzzle Bobble (Japan, B-System);Final Burn Alpha;;1994;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble;Puzzle Bobble (Japan, B-System);HBMame;;1994;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble;Puzzle Bobble (Japan, B-System);MAME (Advance);;1994;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble;Puzzle Bobble (Japan, B-System);MAME (Libretro);;1994;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble;Puzzle Bobble (Japan, B-System);MAME (Mame4all);;1994;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble;Puzzle Bobble (Japan, B-System);MAME;;1994;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
pbobble;Puzzle Bobble (Japan, B-System);MAME;;1994;Taito Corporation;Puzzle;;;;;0;;;;;
pbobblen;Puzzle Bobble / Bust-A-Move (Neo-Geo) (NGM-083);Arcade;;1994;Taito;Puzzle / Toss;;;;;0;;;;;
pbobblen;Puzzle Bobble / Bust-A-Move (Neo-Geo) (NGM-083);Arcade;;1994;Taito;Puzzle;;;;;0;;;;;
pbobblen;Puzzle Bobble / Bust-A-Move (Neo-Geo) (NGM-083);Final Burn Alpha;;1994;Taito;;;;;;0;;;;;
pbobblen;Puzzle Bobble / Bust-A-Move (Neo-Geo) (NGM-083);Final Burn Alpha;;1994;Taito;Puzzle;;;;;0;;;;;
pbobblen;Puzzle Bobble / Bust-A-Move (Neo-Geo) (NGM-083);HBMame;;1994;Taito;Puzzle;;;;;0;;;;;
pbobblen;Puzzle Bobble / Bust-A-Move (Neo-Geo) (NGM-083);MAME (Advance);;1994;Taito;Puzzle;;;;;0;;;;;
pbobblen;Puzzle Bobble / Bust-A-Move (Neo-Geo) (NGM-083);MAME (Libretro);;1994;Taito;Puzzle;;;;;0;;;;;
pbobblen;Puzzle Bobble / Bust-A-Move (Neo-Geo) (NGM-083);MAME (Mame4all);;1994;Taito;Puzzle;;;;;0;;;;;
pbobblen;Puzzle Bobble / Bust-A-Move (Neo-Geo) (NGM-083);MAME;;1994;Taito;Puzzle;;;;;0;;;;;
pbobblen;Puzzle Bobble / Bust-A-Move (Neo-Geo) (set 1);Arcade;;1994;Taito;Puzzle;;;;;0;;;;;
pbobblen;Puzzle Bobble / Bust-A-Move (Neo-Geo) (set 1);Final Burn Alpha;;1994;Taito;Puzzle;;;;;0;;;;;
pbobblen;Puzzle Bobble / Bust-A-Move (Neo-Geo) (set 1);MAME (Advance);;1994;Taito;Puzzle;;;;;0;;;;;
pbobblen;Puzzle Bobble / Bust-A-Move (Neo-Geo) (set 1);MAME (Libretro);;1994;Taito;Puzzle;;;;;0;;;;;
pbobblen;Puzzle Bobble / Bust-A-Move (Neo-Geo) (set 1);MAME (Mame4all);;1994;Taito;Puzzle;;;;;0;;;;;
pbobblen;Puzzle Bobble / Bust-A-Move (Neo-Geo) (set 1);MAME;;1994;Taito;Puzzle;;;;;0;;;;;
pbobblen;Puzzle Bobble / Bust-A-Move (Neo-Geo, NGM-083);MAME (Advance);;1994;Taito;Puzzle;;;;;0;;;;;
pbobblen;Puzzle Bobble / Bust-A-Move (Neo-Geo, NGM-083);MAME (Libretro);;1994;Taito;Puzzle;;;;;0;;;;;
pbobblen;Puzzle Bobble / Bust-A-Move (Neo-Geo, NGM-083);MAME (Mame4all);;1994;Taito;Puzzle;;;;;0;;;;;
pbobblen;Puzzle Bobble / Bust-A-Move (Neo-Geo, NGM-083);MAME;;1994;Taito;Puzzle;;;;;0;;;;;
pbobblenb;Puzzle Bobble / Bust-A-Move (Neo-Geo) (bootleg) [Bootleg];Final Burn Alpha;pbobblen;1994;Taito;;;;;;0;;;;;
pbobblenb;Puzzle Bobble / Bust-A-Move (Neo-Geo) (bootleg);Arcade;pbobblen;1994;bootleg;Puzzle / Toss;;;;;0;;;;;
pbobblenb;Puzzle Bobble / Bust-A-Move (Neo-Geo) (bootleg);Final Burn Alpha;pbobblen;1994;bootleg;Puzzle / Toss;;;;;0;;;;;
pbobblenb;Puzzle Bobble / Bust-A-Move (Neo-Geo) (bootleg);MAME (Advance);pbobblen;1994;bootleg;Puzzle / Toss;;;;;0;;;;;
pbobblenb;Puzzle Bobble / Bust-A-Move (Neo-Geo) (bootleg);MAME (Libretro);pbobblen;1994;bootleg;Puzzle / Toss;;;;;0;;;;;
pbobblenb;Puzzle Bobble / Bust-A-Move (Neo-Geo) (bootleg);MAME (Mame4all);pbobblen;1994;bootleg;Puzzle / Toss;;;;;0;;;;;
pbobblenb;Puzzle Bobble / Bust-A-Move (Neo-Geo) (bootleg);MAME;pbobblen;1994;bootleg;Puzzle / Toss;;;;;0;;;;;
pbobblenb;Puzzle Bobble / Bust-A-Move (Neo-Geo, bootleg);MAME (Advance);pbobblen;1994;bootleg;Puzzle;;;;;0;;;;;
pbobblenb;Puzzle Bobble / Bust-A-Move (Neo-Geo, bootleg);MAME (Libretro);pbobblen;1994;bootleg;Puzzle;;;;;0;;;;;
pbobblenb;Puzzle Bobble / Bust-A-Move (Neo-Geo, bootleg);MAME (Mame4all);pbobblen;1994;bootleg;Puzzle;;;;;0;;;;;
pbobblenb;Puzzle Bobble / Bust-A-Move (Neo-Geo, bootleg);MAME;pbobblen;1994;bootleg;Puzzle;;;;;0;;;;;
pbobblenba;Puzzle Bobble / Bust-A-Move (Neo-Geo) (set 3);HBMame;pbobblen;1994;Taito;Puzzle;;;;;0;;;;;
pbobblencd;Puzzle Bobble / Bust-A-Move (Neo-Geo)(CD conversion);HBMame;pbobblen;1994;bootleg;Puzzle;;;;;0;;;;;
pbobblendx;Puzzle Bobble Deluxe / Bust-A-Move Deluxe;HBMame;pbobblen;2000;hack;Puzzle;;;;;0;;;;;
pbobl2xh;Puzzle Bobble 2X (World Hack);HBMame;pbobble2;1995;hack;Puzzle;;;;;0;;;;;
pc_bb2;Bubble Bobble 2 (PlayChoice-10);HBMame;;2002;NES->PC-10;Platform;;;;;0;;;;;
pc_parsl;Parasol Stars-The Story of Bubble Bobble 3 (PlayChoice-10);HBMame;;2002;NES->PC-10;Platform;;;;;0;;;;;
Puzzle Bobble (Japan);Puzzle Bobble (Japan);Bandai WonderSwan;;1999;SunSoft;Puzzle;;;;;0;;;;;
Puzzle Bobble Mini (Japan, Europe) (v1.10);Puzzle Bobble Mini (Japan, Europe) (v1.10);SNK Neo Geo Pocket Color;;1999;SNK;Puzzle;;;;;0;;;;;
Puzzle Bobble Pocket (Japan);Puzzle Bobble Pocket (Japan);Sony PSP;;2004;Taito;Puzzle;;;;;0;;;;;
Puzzle Bobble;Puzzle Bobble;NESiCAxLive;;;;;;;;;;;;;;
Rainbow Islands (Europe);Rainbow Islands (Europe);Atari ST;;1989;Ocean Software;Platform;;;;;0;;;;;
Rainbow Islands (Europe);Rainbow Islands (Europe);Commodore 64;;1990;Ocean;Platform;;;;;0;;;;;
Rainbow Islands (Europe);Rainbow Islands (Europe);Nintendo Game Boy Color;;2001;TDK Core;Puzzle;;;;;0;;;;;
Rainbow Islands (Japan);Rainbow Islands (Japan);NEC PC Engine-CD;;1993;NEC Avenue;Action;;;;;0;;;;;
Rainbow Islands (USA);Rainbow Islands (USA);Nintendo Entertainment System;;1991;Taito Corporation;Platform;;;;;0;;;;;
Rainbow Islands - Bubble Bobble 2 (Europe);Rainbow Islands - Bubble Bobble 2 (Europe);Nintendo Entertainment System;;1991;Ocean;Platform;;;;;0;;;;;
Rainbow Islands - Putty's Party (Japan);Rainbow Islands - Putty's Party (Japan);Bandai WonderSwan;;2000;Bandai;Action;;;;;0;;;;;
Rainbow Islands - The Story of Bubble Bobble 2 (Europe);Rainbow Islands - The Story of Bubble Bobble 2 (Europe);Amstrad CPC;;1990;Ocean Software;Platform;;;;;0;;;;;
Rainbow Islands - The Story of Bubble Bobble 2 (Europe);Rainbow Islands - The Story of Bubble Bobble 2 (Europe);Sega Master System;;1993;Sega;Platform;;;;;0;;;;;
Rainbow Islands - The Story of Bubble Bobble 2 (Europe);Rainbow Islands - The Story of Bubble Bobble 2 (Europe);Sinclair ZX Spectrum;;1990;Ocean Software;Platform;;;;;0;;;;;
Rainbow Islands - The Story of Bubble Bobble 2 (JU) [b1];Rainbow Islands - The Story of Bubble Bobble 2 (JU) [b1];Sega Mega Drive Japan;;1993;Sega;Platform;1;;;;;;;;;
Rainbow Islands - Towering Adventure! (USA);Rainbow Islands - Towering Adventure! (USA);Nintendo WiiWare;;2009;Taito;Arcade;;;;;0;;;;;
Rainbow Islands Evolution (USA);Rainbow Islands Evolution (USA);Sony PSP;;2008;Ignition;Platform;;;;;0;;;;;
Rainbow Islands Extra (Japan);Rainbow Islands Extra (Japan);Sega Genesis;;1990;Aisystem Tokyo;Platform;;;;;0;;;;;
Rainbow Islands Extra (Japan);Rainbow Islands Extra (Japan);Sega Mega Drive;;1990;Aisystem Tokyo;Platform;;;;;0;;;;;
Rainbow Islands Revolution (USA);Rainbow Islands Revolution;Nintendo DS;;;;;;;;;0;;;;;
RainbowIslands_v1.3_0012;Rainbow Islands;Commodore Amiga;;;;;;;;;0;;;;;
rbisland;Rainbow Islands (new version);Arcade;;1987;Taito Corporation;Platform / Run Jump;;;;;0;;;;;
rbisland;Rainbow Islands (new version);Arcade;;1987;Taito Corporation;Platform;;;;;0;;;;;
rbisland;Rainbow Islands (new version);Final Burn Alpha;;1987;Taito Corporation;;;;;;0;;;;;
rbisland;Rainbow Islands (new version);Final Burn Alpha;;1987;Taito Corporation;Platform;;;;;0;;;;;
rbisland;Rainbow Islands (new version);MAME (Advance);;1987;Taito Corporation;Platform;;;;;0;;;;;
rbisland;Rainbow Islands (new version);MAME (Libretro);;1987;Taito Corporation;Platform;;;;;0;;;;;
rbisland;Rainbow Islands (new version);MAME (Mame4all);;1987;Taito Corporation;Platform;;;;;0;;;;;
rbisland;Rainbow Islands (new version);MAME;;1987;Taito Corporation;Platform;;;;;0;;;;;
rbislande;Rainbow Islands (Extra);Arcade;rbisland;1988;Taito Corporation;Platform / Run Jump;;;;;0;;;;;
rbislande;Rainbow Islands (Extra);Arcade;rbisland;1988;Taito Corporation;Platform;;;;;0;;;;;
rbislande;Rainbow Islands (Extra);Final Burn Alpha;rbisland;1988;Taito Corporation;;;;;;0;;;;;
rbislande;Rainbow Islands (Extra);Final Burn Alpha;rbisland;1988;Taito Corporation;Platform;;;;;0;;;;;
rbislande;Rainbow Islands (Extra);MAME (Advance);rbisland;1988;Taito Corporation;Platform;;;;;0;;;;;
rbislande;Rainbow Islands (Extra);MAME (Libretro);rbisland;1988;Taito Corporation;Platform;;;;;0;;;;;
rbislande;Rainbow Islands (Extra);MAME (Mame4all);rbisland;1988;Taito Corporation;Platform;;;;;0;;;;;
rbislande;Rainbow Islands (Extra);MAME;rbisland;1988;Taito Corporation;Platform;;;;;0;;;;;
rbislando;Rainbow Islands (old version);Arcade;rbisland;1987;Taito Corporation;Platform / Run Jump;;;;;0;;;;;
rbislando;Rainbow Islands (old version);Arcade;rbisland;1987;Taito Corporation;Platform;;;;;0;;;;;
rbislando;Rainbow Islands (old version);Final Burn Alpha;rbisland;1987;Taito Corporation;;;;;;0;;;;;
rbislando;Rainbow Islands (old version);Final Burn Alpha;rbisland;1987;Taito Corporation;Platform;;;;;0;;;;;
rbislando;Rainbow Islands (old version);MAME (Advance);rbisland;1987;Taito Corporation;Platform;;;;;0;;;;;
rbislando;Rainbow Islands (old version);MAME (Libretro);rbisland;1987;Taito Corporation;Platform;;;;;0;;;;;
rbislando;Rainbow Islands (old version);MAME (Mame4all);rbisland;1987;Taito Corporation;Platform;;;;;0;;;;;
rbislando;Rainbow Islands (old version);MAME;rbisland;1987;Taito Corporation;Platform;;;;;0;;;;;
sboblboblc;Super Bubble Bobble (bootleg);MAME (Advance);bublbobl;1986;bootleg;Platform;;;;;0;;;;;
sboblboblc;Super Bubble Bobble (bootleg);MAME (Libretro);bublbobl;1986;bootleg;Platform;;;;;0;;;;;
sboblboblc;Super Bubble Bobble (bootleg);MAME (Mame4all);bublbobl;1986;bootleg;Platform;;;;;0;;;;;
sboblboblc;Super Bubble Bobble (bootleg);MAME;bublbobl;1986;bootleg;Platform;;;;;0;;;;;
spuzbobl;Super Puzzle Bobble (V2.05O 1999/2/24 18:00);MAME (Advance);;1999;Taito;Puzzle;;;;;0;;;;;
spuzbobl;Super Puzzle Bobble (V2.05O 1999/2/24 18:00);MAME (Libretro);;1999;Taito;Puzzle;;;;;0;;;;;
spuzbobl;Super Puzzle Bobble (V2.05O 1999/2/24 18:00);MAME (Mame4all);;1999;Taito;Puzzle;;;;;0;;;;;
spuzbobl;Super Puzzle Bobble (V2.05O 1999/2/24 18:00);MAME;;1999;Taito;Puzzle;;;;;0;;;;;
spuzbobl;Super Puzzle Bobble (V2.05O);Arcade;;1999;Taito;Puzzle / Toss;;;;;0;;;;;
spuzboblj;Super Puzzle Bobble (V2.04J 1999/2/27 02:10);MAME (Advance);spuzbobl;1999;Taito;Puzzle;;;;;0;;;;;
spuzboblj;Super Puzzle Bobble (V2.04J 1999/2/27 02:10);MAME (Libretro);spuzbobl;1999;Taito;Puzzle;;;;;0;;;;;
spuzboblj;Super Puzzle Bobble (V2.04J 1999/2/27 02:10);MAME (Mame4all);spuzbobl;1999;Taito;Puzzle;;;;;0;;;;;
spuzboblj;Super Puzzle Bobble (V2.04J 1999/2/27 02:10);MAME;spuzbobl;1999;Taito;Puzzle;;;;;0;;;;;
spuzboblj;Super Puzzle Bobble (V2.04J);Arcade;spuzbobl;1999;Taito;Puzzle / Toss;;;;;0;;;;;
Super Bubble Bobble (Korea) (Unl);Super Bubble Bobble (Korea) (Unl);Microsoft MSX;;;;;;;;;0;;;;;
Super Bubble Bobble MD (China) (Unl);Super Bubble Bobble MD (China) (Unl);Sega Genesis;;1995;Unknown;Platform;;;;;0;;;;;
Super Bubble Bobble MD (China) (Unl);Super Bubble Bobble MD (China) (Unl);Sega Mega Drive;;1995;Unknown;Platform;;;;;0;;;;;
suprbubl;Super Bubble Bobble MD (Chi);Final Burn Alpha;;199?;unlicensed;;;;;;0;;;;;
