#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
bublbobl1;Bubble Bobble (Japan, Ver 0.0);MAME (Mame4all);bublbobl;1986;Taito Corporation;Platform;;;;;0;;;;;
bublbobl1;Bubble Bobble (Japan, Ver 0.0);MAME;bublbobl;1986;Taito Corporation;Platform;;;;;0;;;;;
bublbobl1;Bubble Bobble (older);Final Burn Alpha;bublbobl;1986;Taito Corporation;;;;;;0;;;;;
bublbobl;Bubble Bobble (Japan, Ver 0.1);Arcade;;1986;Taito Corporation;Platform / Run Jump;;;;;0;;;;;
bublbobl;Bubble Bobble (Japan, Ver 0.1);Arcade;;1986;Taito Corporation;Platform;;;;;0;;;;;
bublbobl;Bubble Bobble (Japan, Ver 0.1);Final Burn Alpha;;1986;Taito Corporation;Platform;;;;;0;;;;;
bublbobl;Bubble Bobble (Japan, Ver 0.1);HBMame;;1986;Taito Corporation;Platform;;;;;0;;;;;
bublbobl;Bubble Bobble (Japan, Ver 0.1);MAME (Advance);;1986;Taito Corporation;Platform;;;;;0;;;;;
bublbobl;Bubble Bobble (Japan, Ver 0.1);MAME (Libretro);;1986;Taito Corporation;Platform;;;;;0;;;;;
bublbobl;Bubble Bobble (Japan, Ver 0.1);MAME (Mame4all);;1986;Taito Corporation;Platform;;;;;0;;;;;
bublbobl;Bubble Bobble (Japan, Ver 0.1);MAME;;1986;Taito Corporation;Platform;;;;;0;;;;;
bublbobl;Bubble Bobble;Final Burn Alpha;;1986;Taito Corporation;;;;;;0;;;;;
bublboblb;Bubble Bobble (for Bobble Bobble PCB);MAME (Advance);bublbobl;2013;bootleg (Aladar);Platform;;;;;0;;;;;
bublboblb;Bubble Bobble (for Bobble Bobble PCB);MAME (Libretro);bublbobl;2013;bootleg (Aladar);Platform;;;;;0;;;;;
bublboblb;Bubble Bobble (for Bobble Bobble PCB);MAME (Mame4all);bublbobl;2013;bootleg (Aladar);Platform;;;;;0;;;;;
bublboblb;Bubble Bobble (for Bobble Bobble PCB);MAME;bublbobl;2013;bootleg (Aladar);Platform;;;;;0;;;;;
bublboblr1;Bubble Bobble (US);Final Burn Alpha;bublbobl;1986;Taito America Corporation (Romstar license);;;;;;0;;;;;
bublboblr1;Bubble Bobble (US, Ver 1.0);Arcade;bublbobl;1986;Taito America Corporation (Romstar license);Platform / Run Jump;;;;;0;;;;;
bublboblr1;Bubble Bobble (US, Ver 1.0);Arcade;bublbobl;1986;Taito America Corporation (Romstar license);Platform;;;;;0;;;;;
bublboblr1;Bubble Bobble (US, Ver 1.0);Final Burn Alpha;bublbobl;1986;Taito America Corporation (Romstar license);Platform;;;;;0;;;;;
bublboblr1;Bubble Bobble (US, Ver 1.0);MAME (Advance);bublbobl;1986;Taito America Corporation (Romstar license);Platform;;;;;0;;;;;
bublboblr1;Bubble Bobble (US, Ver 1.0);MAME (Libretro);bublbobl;1986;Taito America Corporation (Romstar license);Platform;;;;;0;;;;;
bublboblr1;Bubble Bobble (US, Ver 1.0);MAME (Mame4all);bublbobl;1986;Taito America Corporation (Romstar license);Platform;;;;;0;;;;;
bublboblr1;Bubble Bobble (US, Ver 1.0);MAME;bublbobl;1986;Taito America Corporation (Romstar license);Platform;;;;;0;;;;;
bublboblr;Bubble Bobble (US with mode select);Final Burn Alpha;bublbobl;1986;Taito America Corporation (Romstar license);;;;;;0;;;;;
bublboblr;Bubble Bobble (US, Ver 5.1);Arcade;bublbobl;1986;Taito America Corporation (Romstar license);Platform / Run Jump;;;;;0;;;;;
bublboblr;Bubble Bobble (US, Ver 5.1);Arcade;bublbobl;1986;Taito America Corporation (Romstar license);Platform;;;;;0;;;;;
bublboblr;Bubble Bobble (US, Ver 5.1);Final Burn Alpha;bublbobl;1986;Taito America Corporation (Romstar license);Platform;;;;;0;;;;;
bublboblr;Bubble Bobble (US, Ver 5.1);MAME (Advance);bublbobl;1986;Taito America Corporation (Romstar license);Platform;;;;;0;;;;;
bublboblr;Bubble Bobble (US, Ver 5.1);MAME (Libretro);bublbobl;1986;Taito America Corporation (Romstar license);Platform;;;;;0;;;;;
bublboblr;Bubble Bobble (US, Ver 5.1);MAME (Mame4all);bublbobl;1986;Taito America Corporation (Romstar license);Platform;;;;;0;;;;;
bublboblr;Bubble Bobble (US, Ver 5.1);MAME;bublbobl;1986;Taito America Corporation (Romstar license);Platform;;;;;0;;;;;
bublcave10;Bubble Bobble Lost Cave (v1.0) [Homebrew];Final Burn Alpha;bublbobl;1986;Bisboch and Aladar;;;;;;0;;;;;
bublcave10;Bubble Bobble: Lost Cave V1.0;HBMame;bublbobl;2012;hack (Bisboch and Aladar);Platform;;;;;0;;;;;
bublcave10;Bubble Bobble: Lost Cave V1.0;MAME (Advance);bublbobl;2012;hack (Bisboch and Aladar);Platform;;;;;0;;;;;
bublcave10;Bubble Bobble: Lost Cave V1.0;MAME (Libretro);bublbobl;2012;hack (Bisboch and Aladar);Platform;;;;;0;;;;;
bublcave10;Bubble Bobble: Lost Cave V1.0;MAME (Mame4all);bublbobl;2012;hack (Bisboch and Aladar);Platform;;;;;0;;;;;
bublcave10;Bubble Bobble: Lost Cave V1.0;MAME;bublbobl;2012;hack (Bisboch and Aladar);Platform;;;;;0;;;;;
bublcave11;Bubble Bobble Lost Cave (v1.1) [Homebrew];Final Burn Alpha;bublbobl;1986;Bisboch and Aladar;;;;;;0;;;;;
bublcave11;Bubble Bobble: Lost Cave V1.1;HBMame;bublbobl;2012;hack (Bisboch and Aladar);Platform;;;;;0;;;;;
