#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Dynamite Headdy (USA, Europe);Dynamite Headdy (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Earthworm Jim (USA);Earthworm Jim (USA);Sega Gamegear;;;;;;;;;;;;;;
Ecco II - The Tides of Time (USA, Europe);Ecco II - The Tides of Time (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Ecco the Dolphin (USA, Europe);Ecco the Dolphin (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Ernie Els Golf (Europe);Ernie Els Golf (Europe);Sega Gamegear;;;;;;;;;;;;;;
Evander Holyfield Boxing (USA, Europe);Evander Holyfield Boxing (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Excellent Dizzy Collection, The (Europe);Excellent Dizzy Collection, The (Europe);Sega Gamegear;;;;;;;;;;;;;;
F-15 Strike Eagle (USA, Europe);F-15 Strike Eagle (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
F1 (USA, Europe);F1 (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
FIFA International Soccer (USA, Europe);FIFA International Soccer (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
FIFA Soccer 96 (USA, Europe);FIFA Soccer 96 (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Factory Panic (Europe);Factory Panic (Europe);Sega Gamegear;;;;;;;;;;;;;;
Fantastic Dizzy (USA);Fantastic Dizzy (USA);Sega Gamegear;;;;;;;;;;;;;;
Fantasy Zone Gear (Japan, Europe);Fantasy Zone Gear (Japan, Europe);Sega Gamegear;;;;;;;;;;;;;;
Fatal Fury Special (USA);Fatal Fury Special (USA);Sega Gamegear;;;;;;;;;;;;;;
Foreman for Real (World);Foreman for Real (World);Sega Gamegear;;;;;;;;;;;;;;
Frank Thomas Big Hurt Baseball (USA);Frank Thomas Big Hurt Baseball (USA);Sega Gamegear;;;;;;;;;;;;;;
Fred Couples' Golf (USA);Fred Couples' Golf (USA);Sega Gamegear;;;;;;;;;;;;;;
G-LOC Air Battle (USA, Europe);G-LOC Air Battle (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
GP Rider (USA, Europe);GP Rider (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Garfield - Caught in the Act (USA, Europe);Garfield - Caught in the Act (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Gear Works (USA);Gear Works (USA);Sega Gamegear;;;;;;;;;;;;;;
