
Macadam Bumper (Europe);Macadam Bumper (Europe);Amstrad CPC;;1985;ERE Informatique;Pinball;;;;;0;;;;;
Macadam Bumper (Europe);Macadam Bumper (Europe);Atari ST;;1987;Ere Informatique;Pinball;;;;;0;;;;;
Macadam Bumper (Side A) (Europe);Macadam Bumper (Side A) (Europe);Sinclair ZX Spectrum;;1985;PSS;Pinball;;;;;0;;;;;
Macadam Bumper (Side B) (Europe);Macadam Bumper (Side B) (Europe);Sinclair ZX Spectrum;;1985;PSS;Pinball;;;;;0;;;;;
Mario Party 3 (USA);Mario Party 3 (USA);Nintendo 64;;2001;Nintendo;Pinball;;;;;0;;;;;
Mario Pinball Land (USA, Australia);Mario Pinball Land (USA, Australia);Nintendo Game Boy Advance;;2004;Nintendo;Pinball;;;;;0;;;;;
Microball (Europe);Microball (Europe);Amstrad CPC;;1988;Alternative Software;Pinball;;;;;0;;;;;
Microball (Europe);Microball (Europe);Sinclair ZX Spectrum;;1988;Alternative Software;Pinball;;;;;0;;;;;
Microsoft Pinball Arcade (USA);Microsoft Pinball Arcade (USA);Nintendo Game Boy Color;;2001;Classified Games;Pinball;;;;;0;;;;;
Midnight Magic (USA);Midnight Magic (USA);Atari 2600;;1984;Atari;Pinball;;;;;0;;;;;
Moonball Magic (Japan);Moonball Magic (Japan);Nintendo Famicom Disk System;;1988;SquareSoft;Pinball;;;;;0;;;;;
Muppet Pinball Mayhem (USA);Muppet Pinball Mayhem (USA);Nintendo Game Boy Advance;;2002;NewKidCo;Pinball;;;;;0;;;;;
Naxat Super Pinball - Jaki Hakai (Japan);Naxat Super Pinball - Jaki Hakai (Japan);Nintendo Super Famicom;;1992;Compile;Pinball;;;;;0;;;;;
Neo Golden Logres (Japan);Neo Golden Logres (Japan);Sega Dreamcast;;2000;Success;Pinball;;;;;0;;;;;
Night Mission Pinball (USA);Night Mission Pinball (USA);Commodore 64;;1983;SubLogic;Action;;;;;0;;;;;
Obsession (Europe) (Disk 1);Obsession (Europe) (Disk 1);Atari ST;;1994;Unique Development Sweden;Pinball;;;;;0;;;;;
Obsession (Europe) (Disk 2);Obsession (Europe) (Disk 2);Atari ST;;1994;Unique Development Sweden;Pinball;;;;;0;;;;;
PaTaank (USA, Europe);PaTaank (USA, Europe);Panasonic 3DO;;1994;PF Magic;Pinball;;;;;0;;;;;
Pac-Man Pinball Advance (USA);Pac-Man Pinball Advance (USA);Nintendo Game Boy Advance;;2005;Namco;Pinball;;;;;0;;;;;
Patriotic Pinball (USA);Patriotic Pinball (USA);Sony PSP;;2003;Gotham Games;Pinball;;;;;0;;;;;
Patriotic Pinball (USA);Patriotic Pinball (USA);Sony PlayStation;;2003;Gotham Games;Pinball;;;;;0;;;;;
Pin Bot (USA);Pin Bot (USA);Nintendo Entertainment System;;1990;Nintendo;Pinball;;;;;0;;;;;
Pinball (Japan);Pinball (Japan);Nintendo Famicom Disk System;;1983;Nintendo;Pinball;;;;;0;;;;;
Pinball (USA) (Proto);Pinball (USA) (Proto);Magnavox Odyssey 2;;2000;CGE Services;Pinball;;;;;0;;;;;
Pinball (World);Pinball (World);Nintendo Entertainment System;;1985;Nintendo;Pinball;;;;;0;;;;;
Pinball - Revenge of the 'Gator (USA, Europe);Pinball - Revenge of the 'Gator (USA, Europe);Nintendo Game Boy;;1990;HaL;Pinball;;;;;0;;;;;
Pinball 9 (Europe);Pinball 9 (Europe);Commodore 64;;198x;Wicked Software;Action;;;;;0;;;;;
Pinball Advance (Europe) (En,Fr,De,Es,It);Pinball Advance (Europe) (En,Fr,De,Es,It);Nintendo Game Boy Advance;;2002;Digital Worldwide;Pinball;;;;;0;;;;;
Pinball Blaster (Europe);Pinball Blaster (Europe);Microsoft MSX;;;;;;;;;0;;;;;
Pinball Challenge Deluxe (Europe);Pinball Challenge Deluxe (Europe);Nintendo Game Boy Advance;;2002;Ubisoft;Pinball;;;;;0;;;;;
Pinball Construction Set (USA);Pinball Construction Set (USA);Commodore 64;;1983;Electronic Arts;Action;;;;;0;;;;;
Pinball Deluxe (Europe);Pinball Deluxe (Europe);Nintendo Game Boy;;1995;GameTek;Pinball;;;;;0;;;;;
Pinball Dreams (USA);Pinball Dreams (USA);Sega Game Gear;;1995;GameTek;Pinball;;;;;0;;;;;
Pinball Dreams (USA);Pinball Dreams (USA);Super Nintendo Entertainment System;;1993;GameTek;Pinball;;;;;0;;;;;
Pinball Dreams (USA);Pinball Dreams;Sony PSP Minis;;2010;Rebellion Developments;Pinball;;;;;0;;;;;
Pinball Dreams (USA, Europe);Pinball Dreams (USA, Europe);Nintendo Game Boy;;1993;GameTek;Pinball;;;;;0;;;;;
Pinball Duel (USA);Pinball Duel;Sony PSP Minis;;2010;SCEJ;Pinball;;;;;0;;;;;
Pinball Factory (Europe);Pinball Factory (Europe);Atari ST;;1986;Microdeal;Pinball;;;;;0;;;;;
Pinball Fantasies (USA);Pinball Fantasies (USA);Super Nintendo Entertainment System;;1995;GameTek;Pinball;;;;;0;;;;;
Pinball Fantasies (USA);Pinball Fantasies;Sony PSP Minis;;2009;Cowboy Rodeo;Pinball;;;;;0;;;;;
Pinball Fantasies (USA, Europe);Pinball Fantasies (USA, Europe);Nintendo Game Boy;;1995;GameTek;Pinball;;;;;0;;;;;
Pinball Jam (USA, Europe);Pinball Jam (USA, Europe);Atari Lynx;;1992;Atari;Pinball;;;;;0;;;;;
Pinball Magic (CPC+) (Europe);Pinball Magic (CPC+) (Europe);Amstrad CPC;;1991;Loriciels;Pinball;;;;;0;;;;;
Pinball Magic (Europe);Pinball Magic (Europe);Amstrad CPC;;1990;Loriciels;Pinball;;;;;0;;;;;
Pinball Magic (Europe);Pinball Magic (Europe);Atari ST;;1990;Loriciel;Pinball;;;;;0;;;;;
Pinball Mania (Europe);Pinball Mania (Europe);Nintendo Game Boy;;1995;GameTek;Pinball;;;;;0;;;;;
Pinball Power (Europe);Pinball Power (Europe);Amstrad CPC;;1989;Mastertronic;Pinball;;;;;0;;;;;
Pinball Power (Europe);Pinball Power (Europe);Sinclair ZX Spectrum;;1989;Mastertronic Plus;Pinball;;;;;0;;;;;
Pinball Power (Europe);Pinball Power (Europe);Sony PSP;;2000;Midas Interactive Entertainment;Pinball;;;;;0;;;;;
Pinball Power (Europe);Pinball Power (Europe);Sony PlayStation;;2000;Midas Interactive Entertainment;Pinball;;;;;0;;;;;
Pinball Quest (USA);Pinball Quest (USA);Nintendo Entertainment System;;1990;Jaleco Entertainment;Pinball;;;;;0;;;;;
Pinball Spectacular (USA);Pinball Spectacular (USA);Commodore 64;;1983;Commodore;Breakout;;;;;0;;;;;
Pinball Tycoon (USA);Pinball Tycoon (USA);Nintendo Game Boy Advance;;2003;AIA;Pinball;;;;;0;;;;;
Pinball Wizard (Europe);Pinball Wizard (Europe);Amstrad CPC;;1985;CP Software;Pinball;;;;;0;;;;;
Pinball Wizard (Europe);Pinball Wizard (Europe);Commodore 64;;1984;Sagittarian Software Ltd.;Action;;;;;0;;;;;
Pinball Wizard (Europe);Pinball Wizard (Europe);Sinclair ZX Spectrum;;1983;CP Software;Pinball;;;;;0;;;;;
Pinball Wizard (USA);Pinball Wizard (USA);Atari ST;;1987;Ere Informatique;Pinball;;;;;0;;;;;
Pinball of the Dead, The (USA);Pinball of the Dead, The (USA);Nintendo Game Boy Advance;;2002;THQ;Pinball;;;;;0;;;;;
PinballDreams_v1.3_0377;Pinball Dreams;Commodore Amiga;;;;;;;;;0;;;;;
PinballFantasies_v2.6c_AGA_0047;Pinball Fantasies;Commodore Amiga;;;;;;;;;0;;;;;
PinballHazard_v1.1;Pinball Hazard;Commodore Amiga;;;;;;;;;0;;;;;
PinballIllusions_v2.2_AGA_0710;Pinball Illusions;Commodore Amiga;;;;;;;;;0;;;;;
PinballMagic_v1.0_2003;Pinball Magic;Commodore Amiga;;;;;;;;;0;;;;;
PinballMania_v1.3b_AGA_0896;Pinball Mania;Commodore Amiga;;;;;;;;;0;;;;;
PinballPrelude_v1.0_AGA_2327;Pinball Prelude (Present Table);Commodore Amiga;;;;;;;;;0;;;;;
PinballWizard_v1.0;Pinball Wizard;Commodore Amiga;;;;;;;;;0;;;;;
Pokemon Pinball (USA);Pokemon Pinball (USA);Nintendo Game Boy Color;;1999;Nintendo;Pinball;;;;;0;;;;;
Pokemon Pinball - Ruby & Sapphire (USA);Pokemon Pinball - Ruby & Sapphire (USA);Nintendo Game Boy Advance;;2003;Nintendo;Pinball;;;;;0;;;;;
Power Rangers Zeo - Full Tilt Battle Pinball (USA);Power Rangers Zeo - Full Tilt Battle Pinball (USA);Sony PSP;;1996;Bandai;Pinball;;;;;0;;;;;
Power Rangers Zeo - Full Tilt Battle Pinball (USA);Power Rangers Zeo - Full Tilt Battle Pinball (USA);Sony PlayStation;;1996;Bandai;Pinball;;;;;0;;;;;
PowerPinball_v1.1;Power Pinball;Commodore Amiga;;;;;;;;;0;;;;;
Pro Pinball (Europe);Pro Pinball (Europe);Sinclair ZX Spectrum;;1983;R.E.D.;Pinball;;;;;0;;;;;
Pro Pinball - Big Race USA (USA);Pro Pinball - Big Race USA (USA);Sony PSP;;2000;Empire Interactive;Pinball;;;;;0;;;;;
Pro Pinball - Big Race USA (USA);Pro Pinball - Big Race USA (USA);Sony PlayStation;;2000;Empire Interactive;Pinball;;;;;0;;;;;
Pro Pinball - Fantastic Journey (USA);Pro Pinball - Fantastic Journey (USA);Sony PSP;;2000;Empire Interactive;Pinball;;;;;0;;;;;
Pro Pinball - Fantastic Journey (USA);Pro Pinball - Fantastic Journey (USA);Sony PlayStation;;2000;Empire Interactive;Pinball;;;;;0;;;;;
Pro Pinball - Timeshock! (USA);Pro Pinball - Timeshock! (USA);Sony PSP;;1998;Empire Interactive;Pinball;;;;;0;;;;;
Pro Pinball - Timeshock! (USA);Pro Pinball - Timeshock! (USA);Sony PlayStation;;1998;Empire Interactive;Pinball;;;;;0;;;;;
Pro Pinball Trilogy (Europe);Pro Pinball Trilogy (Europe);Sega Dreamcast;;2001;Empire Interactive;Pool and Dart;;;;;0;;;;;
Pro-Pinball (USA);Pro-Pinball (USA);Sony PSP;;1996;Interplay;Pinball;;;;;0;;;;;
Pro-Pinball (USA);Pro-Pinball (USA);Sony PlayStation;;1996;Interplay;Pinball;;;;;0;;;;;
Psycho Pinball (Europe);Psycho Pinball (Europe);Sega Genesis;;1994;Codemasters;Pinball;;;;;0;;;;;
QuiksilverPinball_v1.2;Quiksilver Pinball;Commodore Amiga;;;;;;;;;0;;;;;
Real Pinball (USA);Real Pinball (USA);Panasonic 3DO;;1994;Panasonic;Pinball;;;;;0;;;;;
Reflexity_v1.0;Reflexity - Pinball Challenge;Commodore Amiga;;;;;;;;;0;;;;;
Rock 'n' Ball (USA);Rock 'n' Ball (USA);Nintendo Entertainment System;;1990;NTVIC;Pinball;;;;;0;;;;;
Score 3020 (Spain);Score 3020 (Spain);Sinclair ZX Spectrum;;1988;Topo Soft;Pinball;;;;;0;;;;;
SlamTilt_v3.5_AGA_1151;Slam Tilt - The Pinball Game;Commodore Amiga;;;;;;;;;0;;;;;
Soccer Pinball (Europe);Soccer Pinball (Europe);Amstrad CPC;;1992;Codemasters;Pinball;;;;;0;;;;;
Soccer Pinball (Europe);Soccer Pinball (Europe);Commodore 64;;1992;Codemasters;Action;;;;;0;;;;;
Soccer Pinball (Europe);Soccer Pinball (Europe);Sinclair ZX Spectrum;;1992;Codemasters;Pinball;;;;;0;;;;;
SoccerPinball_v1.2_2522;Soccer Pinball;Commodore Amiga;;;;;;;;;0;;;;;
Sonic Pinball Party (USA) (En,Ja,Fr,De,Es,It);Sonic Pinball Party (USA) (En,Ja,Fr,De,Es,It);Nintendo Game Boy Advance;;2003;Sega;Pinball;;;;;0;;;;;
Sonic Spinball (Europe);Sonic Spinball (Europe);Sega Master System;;1993;Sega;Pinball;;;;;0;;;;;
Sonic Spinball (USA, Europe);Sonic Spinball (USA, Europe);Sega Game Gear;;1995;Sega;Pinball;;;;;0;;;;;
Spin ball (USA);Spin ball (USA);GCE Vectrex;;1983;GCE;Pinball;;;;;0;;;;;
Spyro 2 - Season of Flame (USA);Spyro 2 - Season of Flame (USA);Nintendo Game Boy Advance;;2002;VU Games;Pinball;;;;;0;;;;;
Super Pinball (Japan);Super Pinball (Japan);Nintendo Famicom;;1988;Coconuts Japan;Pinball;;;;;0;;;;;
Super Pinball - Behind the Mask (USA);Super Pinball - Behind the Mask (USA);Super Nintendo Entertainment System;;1994;Nintendo;Pinball;;;;;0;;;;;
Super Pinball II - The Amazing Odyssey (Japan);Super Pinball II - The Amazing Odyssey (Japan);Nintendo Super Famicom;;1995;Kaze;Pinball;;;;;0;;;;;
ThomasTheTankEnginePinball_v1.2_AGA;Thomas the Tank Engine's Pinball;Commodore Amiga;;;;;;;;;0;;;;;
Tilt! (Europe);Tilt! (Europe);Sony PSP;;1997;Virgin Interactive;Pinball;;;;;0;;;;;
Tilt! (Europe);Tilt! (Europe);Sony PlayStation;;1997;Virgin Interactive;Pinball;;;;;0;;;;;
Time Scanner (Europe);Time Scanner (Europe);Amstrad CPC;;1989;Activision;Pinball;;;;;0;;;;;
Time Scanner (Europe);Time Scanner (Europe);Atari ST;;1989;Activision;Pinball;;;;;0;;;;;
Time Scanner (Europe);Time Scanner (Europe);Sinclair ZX Spectrum;;1989;Activision;Pinball;;;;;0;;;;;
True Pinball (USA);True Pinball (USA);Sony PSP;;1996;Ocean;Pinball;;;;;0;;;;;
True Pinball (USA);True Pinball (USA);Sony PlayStation;;1996;Ocean;Pinball;;;;;0;;;;;
Video Pinball (USA);Video Pinball (USA);Atari 2600;;1981;Atari;Pinball;;;;;0;;;;;
Virtual Pinball (USA, Europe);Virtual Pinball (USA, Europe);Sega Genesis;;1993;Electronic Arts;Pinball;;;;;0;;;;;
Wizard Pinball (Europe);Wizard Pinball (Europe);Sega Game Gear;;1992;Domark;Pinball;;;;;0;;;;;
Worms Pinball (Europe);Worms Pinball (Europe);Sony PSP;;2000;Infogrames;Pinball;;;;;0;;;;;
Worms Pinball (Europe);Worms Pinball (Europe);Sony PlayStation;;2000;Infogrames;Pinball;;;;;0;;;;;
aavenger;Airborne Avenger;Arcade;;1977;Atari;Electromechanical / Pinball;;;;;0;;;;;
aavenger;Airborne Avenger;Mame (Advance);;1977;Atari;Electromechanical / Pinball;;;;;0;;;;;
aavenger;Airborne Avenger;Mame (Libretro);;1977;Atari;Electromechanical / Pinball;;;;;0;;;;;
aavenger;Airborne Avenger;Mame (Mame4all);;1977;Atari;Electromechanical / Pinball;;;;;0;;;;;
aavenger;Airborne Avenger;Mame;;1977;Atari;Electromechanical / Pinball;;;;;0;;;;;
afm_10;Attack From Mars (1.0);Arcade;afm_113;1995;Bally;Electromechanical / Pinball;;;;;0;;;;;
afm_10;Attack From Mars (1.0);Mame (Advance);afm_113;1995;Bally;Electromechanical / Pinball;;;;;0;;;;;
afm_10;Attack From Mars (1.0);Mame (Libretro);afm_113;1995;Bally;Electromechanical / Pinball;;;;;0;;;;;
afm_10;Attack From Mars (1.0);Mame (Mame4all);afm_113;1995;Bally;Electromechanical / Pinball;;;;;0;;;;;
afm_10;Attack From Mars (1.0);Mame;afm_113;1995;Bally;Electromechanical / Pinball;;;;;0;;;;;
afm_113;Attack From Mars (1.13, Free play);Arcade;;1995;Bally;Electromechanical / Pinball;;;;;0;;;;;
afm_113;Attack From Mars (1.13, Free play);Mame (Advance);;1995;Bally;Electromechanical / Pinball;;;;;0;;;;;
afm_113;Attack From Mars (1.13, Free play);Mame (Libretro);;1995;Bally;Electromechanical / Pinball;;;;;0;;;;;
afm_113;Attack From Mars (1.13, Free play);Mame (Mame4all);;1995;Bally;Electromechanical / Pinball;;;;;0;;;;;
afm_113;Attack From Mars (1.13, Free play);Mame;;1995;Bally;Electromechanical / Pinball;;;;;0;;;;;
afm_113b;Attack From Mars (1.13b);Arcade;afm_113;1995;Bally;Electromechanical / Pinball;;;;;0;;;;;
afm_113b;Attack From Mars (1.13b);Mame (Advance);afm_113;1995;Bally;Electromechanical / Pinball;;;;;0;;;;;
afm_113b;Attack From Mars (1.13b);Mame (Libretro);afm_113;1995;Bally;Electromechanical / Pinball;;;;;0;;;;;
afm_113b;Attack From Mars (1.13b);Mame (Mame4all);afm_113;1995;Bally;Electromechanical / Pinball;;;;;0;;;;;
afm_113b;Attack From Mars (1.13b);Mame;afm_113;1995;Bally;Electromechanical / Pinball;;;;;0;;;;;
afm_11;Attack From Mars (1.1);Arcade;afm_113;1995;Bally;Electromechanical / Pinball;;;;;0;;;;;
afm_11;Attack From Mars (1.1);Mame (Advance);afm_113;1995;Bally;Electromechanical / Pinball;;;;;0;;;;;
afm_11;Attack From Mars (1.1);Mame (Libretro);afm_113;1995;Bally;Electromechanical / Pinball;;;;;0;;;;;
afm_11;Attack From Mars (1.1);Mame (Mame4all);afm_113;1995;Bally;Electromechanical / Pinball;;;;;0;;;;;
