#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Bit. Trip Core (USA);Bit. Trip Core (USA);Nintendo WiiWare;;2009;Gaijin Games, Aksys Games;Arcade;;;;;0;;;;;
Bit. Trip Fate (USA);Bit. Trip Fate (USA);Nintendo WiiWare;;2010;Gaijin Games, Aksys Games;Shooter;;;;;0;;;;;
Bit. Trip Flux (USA);Bit. Trip Flux (USA);Nintendo WiiWare;;2011;Gaijin Games, Aksys Games;Arcade;;;;;0;;;;;
Bit. Trip Runner (USA);Bit. Trip Runner (USA);Nintendo WiiWare;;2010;Gaijin Games, Aksys Games;Action;;;;;0;;;;;
Bit. Trip Void (USA);Bit. Trip Void (USA);Nintendo WiiWare;;2009;Gaijin Games, Aksys Games;Arcade;;;;;0;;;;;
Bittos Plus (USA);Bittos Plus (USA);Nintendo WiiWare;;2010;Unconditional Studios;Puzzle;;;;;0;;;;;
Blaster Master - Overdrive (USA);Blaster Master - Overdrive (USA);Nintendo WiiWare;;2010;Sunsoft;Action;;;;;0;;;;;
Block Breaker Deluxe (USA);Block Breaker Deluxe (USA);Nintendo WiiWare;;2008;Gameloft;Arcade;;;;;0;;;;;
Blood Beach (USA);Blood Beach (USA);Nintendo WiiWare;;2010;Coresoft Inc.;Shooter;;;;;0;;;;;
Bloons (USA);Bloons (USA);Nintendo WiiWare;;2010;Hands-On Mobile;Puzzle;;;;;0;;;;;
Bobby Carrot Forever (USA);Bobby Carrot Forever (USA);Nintendo WiiWare;;2011;FDG Entertainment;Adventure;;;;;0;;;;;
Boingz (USA);Boingz (USA);Nintendo WiiWare;;2008;RealNetworks, NinjaBee;Puzzle;;;;;0;;;;;
Boku wa Plarail Untenshi - Shinkansen & Joukikikansha Hen (Japan);Boku wa Plarail Untenshi - Shinkansen & Joukikikansha Hen (Japan);Nintendo WiiWare;;2010;Takara Tomy;Simulation;;;;;0;;;;;
Bokumo Sekai wo Sukuitai (Japan);Bokumo Sekai wo Sukuitai (Japan);Nintendo WiiWare;;2010;Poisoft;Role-Playing;;;;;0;;;;;
Bokumo Sekai wo Sukuitai - Battle Tournament (Japan);Bokumo Sekai wo Sukuitai - Battle Tournament (Japan);Nintendo WiiWare;;2010;Poisoft;Adventure;;;;;0;;;;;
Bomberman Blast (USA);Bomberman Blast (USA);Nintendo WiiWare;;2008;Hudson Soft;Puzzle;;;;;0;;;;;
