#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
wrungp;Wave Runner GP;Sega Naomi;;2001;Sega / CRI;Water;;;;;0;;;;;
wrungpo;Wave Runner GP (USA) (Rev. A);Sega Naomi;wrungp;2001;Sega / CRI;Water;;;;;0;;;;;
wldrider;Wild Riders;Sega Naomi;;2001;Sega;Driving;;;;;0;;;;;
wldkicksa;World Kicks (Asia) (WK2 Ver. A);Sega Naomi;wldkicks;1999;Namco;Sports/Soccer;;;;;0;;;;;
wldkicks;World Kicks (US) (WK3 Ver. A);Sega Naomi;;1999;Namco;Sports/Soccer;;;;;0;;;;;
wldkicksj;World Kicks PCB (Japan) (WKC1 Ver. A);Sega Naomi;wldkicks;1999;Namco;Sports/Soccer;;;;;0;;;;;
wsbbgd;World Series Baseball / Super Major League (GDS-0010);Sega Naomi;;2001;Sega;Sports/Baseball;;;;;0;;;;;
zerogu2;Zero Gunner 2;Sega Naomi;;2001;Psikyo;Shooter;;;;;0;;;;;
zombrvno;Zombie Revenge;Sega Naomi;zombrvn;1999;Sega;Beat-'Em-Up;;;;;0;;;;;
zombrvn;Zombie Revenge (Rev. A);Sega Naomi;;1999;Sega;Beat-'Em-Up;;;;;0;;;;;
